label,target,distractor1,distractor2,distractor3,difficulty
ant,images/ant.jpg,images/muffin.jpg,images/raspberry.jpg,images/mint.jpg,0
ball,images/ball.jpg,images/pen.jpg,images/peach.jpg,images/snack.jpg,0
duck,images/duck.jpg,images/tongue.jpg,images/ladder.jpg,images/snake.jpg,0
wheel,images/wheel.jpg,images/fish.jpg,images/bowl.jpg,images/meat.jpg,0
watermelon,images/watermelon.jpg,images/strawberry.jpg,images/screwdriver.jpg,images/crane.jpg,1
fox,images/fox.jpg,images/wolf.jpg,images/reindeer.jpg,images/harmonica.jpg,1
turtle,images/turtle.jpg,images/frog.jpg,images/horse.jpg,images/railing.jpg,1
marshmallow,images/marshmallow.jpg,images/snowball.jpg,images/dryer.jpg,images/rooster.jpg,1
sunflower,images/sunflower.jpg,images/pineapple.jpg,images/rim.jpg,images/pinball.jpg,1
lollipop,images/lollipop.jpg,images/candy.jpg,images/doorbell.jpg,images/crumb.jpg,1
teapot,images/teapot.jpg,images/teacup.jpg,images/brake.jpg,images/bookmark.jpg,1
cake,images/cake.jpg,images/dessert.jpg,images/refrigerator.jpg,images/battery.jpg,1
footbath,images/footbath.jpg,images/trough.jpg,images/vest.jpg,images/rhinoceros.jpg,1
squirrel,images/squirrel.jpg,images/monkey.jpg,images/eagle.jpg,images/shorts.jpg,1
pie,images/pie.jpg,images/pizza.jpg,images/flashlight.jpg,images/sweater.jpg,1
carrot,images/carrot.jpg,images/vegetable.jpg,images/phone.jpg,images/bathtub.jpg,1
sink,images/sink.jpg,images/toilet.jpg,images/stair.jpg,images/knitting.jpg,1
rice,images/rice.jpg,images/dice.jpg,images/box.jpg,images/bedpost.jpg,1
telescope,images/telescope.jpg,images/tripod.jpg,images/windshield.jpg,images/anklet.jpg,1
potato,images/potato.jpg,images/pot.jpg,images/glasses.jpg,images/dragonfly.jpg,1
squash,images/squash.jpg,images/pumpkin.jpg,images/branch.jpg,images/gazelle.jpg,1
fan,images/fan.jpg,images/album.jpg,images/boulder.jpg,images/chipmunk.jpg,1
